abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite,chebi_accession,SOURCE,name,definition,InChI
10,17ahprgstrn,68-96-2,17252.0,"Human Metabolome Database (HMDB): It serves as an intermediate in the biosynthesis of hydrocortisone and gonadal steroid hormones. It is derived from progesterone via 17-hydroxylase, a P450c17 enzyme, or from 17-hydroxypregnenolone via 3&#946;-hydroxysteroid dehydrogenase/&#916;5-4 isomerase. 17-Hydroxyprogesterone is a natural progestin and in pregnancy increases in the third trimester primarily due to fetal adrenal production. This hormone is primarily produced in the adrenal glands and to some degree in the gonads, specifically the corpus luteum of the ovary. Normal levels are 3-90 ng/dl in children, and in women, 15-70 ng/dl prior to ovulation, and 35-290 ng/dl during the luteal phase. Measurements of levels of 17-hydroxyprogesterone are useful in the evaluation of patients with suspected congenital adrenal hyperplasia as the typical enzymes that are defective, namely 21-hydroxylase and 11&#946;-hydroxylase, lead to a build-up of 17OHP. In contrast, the rare patient with 17&#945;-hydroxylase deficiency will have very low or undetectable levels of 17OHP. 17OHP levels can also be used to measure contribution of progestational activity of the corpus luteum during pregnancy as progesterone but not 17OHP is also contributed by the placenta.",17-Hydroxyprogesterone,HMDB0000374,b,b,C01176,b,FDB021992,17ahprgstrn,[H]O[C@]1(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],DBPWSSGDRRHUNT-CEGNMAFCSA-N,"InChI=1S/C21H30O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h12,16-18,24H,4-11H2,1-3H3/t16-,17+,18+,19+,20+,21+/m1/s1",CHEBI:17252,ChEBI,17alpha-hydroxyprogesterone,A 17alpha-hydroxy steroid that is the 17alpha-hydroxy derivative of progesterone.,"InChI=1S/C21H30O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h12,16-18,24H,4-11H2,1-3H3/t16-,17+,18+,19+,20+,21+/m1/s1"
11,18harachd,124411-81-0,91132.0,"Human Metabolome Database (HMDB): (18R)-Hydroxyarachidonate is a substrate for CYP4F8 or leukotriene-B4 20-monooxygenase (EC 1.14.13.30). This enzyme hydroxylates arachdonic acid (20:4n-6) to (18R)-hydroxyarachidonate in the endoplasmic reticulum. This reaction is irreversible. CYP4F8 is a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and functions as a 19-hydroxylase of prostaglandins in seminal vesicles. In particular, CYP4F8 catalyzes the 2-hydroxylation of PGH1 and PGH2, which will lead to biosynthesis of the two main PGs of human seminal fluid, (19R)-hydroxy-PGE1 and (19R)-hydroxy-PGE2 (PMID: 10791960). 18-Hydroxyarachidonic acid is an intermediate in eicosanoid metabolism.",18-Hydroxyarachidonic acid,HMDB0006245,b,b,b,b,FDB023857,18harachd,[H]O[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,PPCHNRUZQWLEMF-LFFPGIGVSA-M,"InChI=1S/C20H32O3/c1-2-19(21)17-15-13-11-9-7-5-3-4-6-8-10-12-14-16-18-20(22)23/h4-7,10-13,19,21H,2-3,8-9,14-18H2,1H3,(H,22,23)/p-1/b6-4-,7-5-,12-10-,13-11-/t19-/m1/s1",CHEBI:90790,SUBMITTER,18(R)-HETE(1-),"A 18-HETE(1-) that is the conjugate base of 18(R)-HETE, obtained by deprotonation of the carboxy group; major species at pH 7.3.","InChI=1S/C20H32O3/c1-2-19(21)17-15-13-11-9-7-5-3-4-6-8-10-12-14-16-18-20(22)23/h4-7,10-13,19,21H,2-3,8-9,14-18H2,1H3,(H,22,23)/p-1/b6-4-,7-5-,12-10-,13-11-/t19-/m1/s1"
12,1a2425thvitd3,56142-94-0,47799.0,"Human Metabolome Database (HMDB): 24-Hydroxycalcitriol stimulates intestinal calcium transport but not bone calcium mobilization or phosphate transport reactions. (PMID: 163578). Vitamin D-24-hydroxylase (24-OHase) is a cytochrome P-450 enzyme that catalyzes the conversion of 1alpha,25-dihydroxyvitamin D3 [1,25-(OH)2D3] to 24-Hydroxycalcitriol (1,24,25-trihydroxyvitamin D3). (PMID: 9165006). The administration of 24-Hydroxycalcitriol at doses of 0.2 and 0.3 microg/kg/day produced strong anabolic effects, especially on vertebral cancellous bone that can prevent estrogen depletion-induced bone loss in ovariectomized (OVX) rats. (PMID: 9115161).",24-Hydroxycalcitriol,HMDB0006228,b,b,b,b,FDB023848,b,[H]O[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])\C(=C(/[H])\C(\[H])=C3/C(=C([H])[H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(O[H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H],WFZKUWGUJVKMHC-UKBUZQLGSA-N,"InChI=1S/C27H44O4/c1-17(8-13-25(30)26(3,4)31)22-11-12-23-19(7-6-14-27(22,23)5)9-10-20-15-21(28)16-24(29)18(20)2/h9-10,17,21-25,28-31H,2,6-8,11-16H2,1,3-5H3/b19-9+,20-10-/t17-,21-,22-,23+,24+,25-,27-/m1/s1",CHEBI:47799,ChEBI,calcitetrol,y,"InChI=1S/C27H44O4/c1-17(8-13-25(30)26(3,4)31)22-11-12-23-19(7-6-14-27(22,23)5)9-10-20-15-21(28)16-24(29)18(20)2/h9-10,17,21-25,28-31H,2,6-8,11-16H2,1,3-5H3/b19-9+,20-10-/t17-,21-,22-,23+,24+,25-,27-/m1/s1"
13,1a25dhvitd2,60133-18-8,86320.0,"Human Metabolome Database (HMDB): Ercalcitriol is the active circulating metabolite of vitamin D2. Vitamin D2 is modified by 25-hydroxylase in the liver and 25-hydroxyvitamin D *-hydroxylase in the kidney to form the active metabolite, ercalcitriol, which is then metabolized by 25-hydroxyvitamin D-24-hydroxylase (24-OHase, CYP24A1, EC 1.14.13.13). The binding of ercalcitriol or their analogs to Vitamin D receptor (VDR), a nuclear receptor, activates VDR to interact with retinoid X receptor (RXR) and forms the VDR/RXR/cofactor complex, which binds to Vitamin D response elements in the promoter region of target genes to regulate gene transcription. The kidney is the major site of 25-hydroxyvitamin D*-hydroxylase (CYP27B1, EC 1.14.13.13), which is responsible for the activation of 25-hydroxyvitamin D. Of all the steroid hormones, ercalcitriol represents the most difficult challenge to the analytical biochemist with respect to quantization. Ercalcitriol circulates at pmol concentrations, is highly lipophilic and its precursor, 25-hydroxyvitamin D2, circulates at nmol levels. (PMID: 16242929, 17867378, 17197173).",Ercalcitriol,HMDB0006225,b,b,b,b,FDB023845,1a25dhvitd2,[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(C(\[H])=C(/[H])[C@]([H])(C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H],ZGLHBRQAEXKACO-XJRQOBMKSA-N,"InChI=1S/C28H44O3/c1-18(9-10-19(2)27(4,5)31)24-13-14-25-21(8-7-15-28(24,25)6)11-12-22-16-23(29)17-26(30)20(22)3/h9-12,18-19,23-26,29-31H,3,7-8,13-17H2,1-2,4-6H3/b10-9+,21-11+,22-12-/t18-,19+,23-,24-,25+,26+,28-/m1/s1",CHEBI:86320,SUBMITTER,"1alpha,25-dihydroxyvitamin D2",A hydroxycalciol that is vitamin D2 bearing additional hydroxy substituents at positions 1alpha and 25.,"InChI=1S/C28H44O3/c1-18(9-10-19(2)27(4,5)31)24-13-14-25-21(8-7-15-28(24,25)6)11-12-22-16-23(29)17-26(30)20(22)3/h9-12,18-19,23-26,29-31H,3,7-8,13-17H2,1-2,4-6H3/b10-9+,21-11+,22-12-/t18-,19+,23-,24-,25+,26+,28-/m1/s1"
14,1a25dhvitd3,32222-06-3,17823.0,"Human Metabolome Database (HMDB): The physiologically active form of vitamin D. It is formed primarily in the kidney by enzymatic hydroxylation of 25-hydroxycholecalciferol (calcifediol). Its production is stimulated by low blood calcium levels and parathyroid hormone. Calcitriol increases intestinal absorption of calcium and phosphorus, and in concert with parathyroid hormone increases bone resorption.--PubChem.",Calcitriol,HMDB0001903,b,b,C01673,CALCITRIOL,FDB021822,1a25dhvitd3,[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H],GMRQFYUYWCNGIN-NKMMMXOESA-N,"InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1",CHEBI:17823,ChEBI,calcitriol,"A hydroxycalciol that is calcidiol in which the pro-S hydrogen of calcidiol is replaced by a hydroxy group. It is the active form of vitamin D3, produced fom calciol via hydoxylation in the liver to form calcidiol, which is subsequently oxidised in the kidney to give calcitriol.","InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1"
15,1mncam,3106-60-3,16797.0,Human Metabolome Database (HMDB): 1-Methylnicotinamide is a metabolite of nicotinamide and is produced primarily in the liver. It has anti-inflammatory properties (PMID 16197374). It is a product of nicotinamide N-methyltransferase [EC 2.1.1.1] in the pathway of nicotinate and nicotinamide metabolism (KEGG). 1-Methylnicotinamide may be an endogenous activator of prostacyclin production and thus may regulate thrombotic as well as inflammatory processes in the cardiovascular system (PMID: 17641676).,1-Methylnicotinamide,HMDB0000699,b,b,C02918,CPD-396,FDB022188,1mncam,[H]N([H])C(=O)C1=C([H])[N+](=C([H])C([H])=C1[H])C([H])([H])[H],LDHMAVIPBRSVRG-UHFFFAOYSA-O,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1",CHEBI:16797,ChEBI,1-methylnicotinamide,A pyridinium ion comprising nicotinamide having a methyl group at the 1-position. It is a metabolite of nicotinamide which was initially considered to be biologically inactive but has emerged as an anti-thrombotic and anti-inflammatory agent.,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1"
16,1mpyr,b,27435.0,"Human Metabolome Database (HMDB): This compound belongs to the family of Pyrrolines. These are compounds containing a pyrroline ring, which is a five-member unsaturated aliphatic ring with one nitrogen atom and four carbon atoms.",1-Methylpyrrolinium,HMDB0060253,b,b,b,CPD-7994,b,b,[H]C1=[N+](C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],FDWZAOGDOVQOLD-UHFFFAOYSA-N,"InChI=1S/C5H10N/c1-6-4-2-3-5-6/h4H,2-3,5H2,1H3/q+1",CHEBI:27435,ChEBI,1-methylpyrrolinium,An organic cation that is 1-pyrroline bearing an N-methyl substituent.,"InChI=1S/C5H10N/c1-6-4-2-3-5-6/h4H,2-3,5H2,1H3/q+1"
17,1p2cbxl,b,36761.0,Human Metabolome Database (HMDB): 1-Pyrroline-2-carboxylic acid is a terminal product of D-proline metabolism. Specifically D-proline is converted to 1-Pyrroline-2-carboxylic acid via D-amino acid oxidase. This spontaneously breaks down to 2-oxo-5-amino-valerate.,1-Pyrroline-2-carboxylic acid,HMDB0006875,b,b,C03564,DELTA1-PYRROLINE_2-CARBOXYLATE,FDB024129,b,[H]C1([H])N=C(C([O-])=O)C([H])([H])C1([H])[H],RHTAIKJZSXNELN-UHFFFAOYSA-M,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h1-3H2,(H,7,8)/p-1",CHEBI:17425,ChEBI,1-pyrroline-2-carboxylate,The anion resulting from the removal of a proton from the carboxylic acid group of 1-pyrroline-2-carboxylic acid.,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h1-3H2,(H,7,8)/p-1"
18,1pipdn2c,2756-89-0,30912.0,"Human Metabolome Database (HMDB): delta 1-Piperidine-2-carboxylic acid (P2C), an intermediate of the L-lysine metabolic pathway in the brain; the uptake of P2C into the synaptosome of the cerebral cortex was Na+ and temperature-dependent (PMID 7654748 ).",D-1-Piperideine-2-Carboxylic Acid,HMDB0001084,b,b,C04092,delta(1)-piperideine-2-carboxylate,FDB022415,1pipdn2c,[H]OC(=O)C1=NC([H])([H])C([H])([H])C([H])([H])C1([H])[H],GEJXSVNGWOSZPC-UHFFFAOYSA-N,"InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)",CHEBI:77631,SUBMITTER,1-piperideine-2-carboxylic acid zwitterion,A zwitterion resulting from the transfer of a proton from the carboxy group to the nitrogen of 1-piperideine-2-carboxylic acid,"InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)"
19,1pipdn2c,2756-89-0,30912.0,"Human Metabolome Database (HMDB): delta 1-Piperidine-2-carboxylic acid (P2C), an intermediate of the L-lysine metabolic pathway in the brain; the uptake of P2C into the synaptosome of the cerebral cortex was Na+ and temperature-dependent (PMID 7654748 ).",D-1-Piperideine-2-Carboxylic Acid,HMDB0001084,b,b,C04092,delta(1)-piperideine-2-carboxylate,FDB022415,1pipdn2c,[H]OC(=O)C1=NC([H])([H])C([H])([H])C([H])([H])C1([H])[H],GEJXSVNGWOSZPC-UHFFFAOYSA-N,"InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)",CHEBI:30912,ChEBI,1-piperideine-2-carboxylic acid,y,"InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)"
20,1pyr5c,64199-88-8,371.0,b,1-Pyrroline-5-Carboxylate,b,b,b,C03912,b,b,1pyr5c,[H]C1=NC([H])(C([O-])=O)C([H])([H])C1([H])[H],DWAKNKKXGALPNW-UHFFFAOYSA-M,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)/p-1",CHEBI:15893,ChEBI,1-pyrroline-5-carboxylate,A 1-pyrrolinecarboxylate resulting from the removal of the proton from the carboxy group of 1-pyrroline-5-carboxylic acid.,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)/p-1"
21,20ahchsterol,516-72-3,1296.0,"Human Metabolome Database (HMDB): 20 alpha-hydroxycholesterol participates in C21-Steroid hormone metabolism. 20 alpha-hydroxycholesterol is produced by the reaction between cholesterol and the enzyme, cholesterol monooxygenase (side-chain-cleaving) [EC:1.14.15.6].",20alpha-Hydroxycholesterol,HMDB0006283,b,b,C05500,20A-HYDROXY-CHOLESTEROL,FDB023876,20ahchsterol,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@](O[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],MCKLJFJEQRYRQT-APGJSSKUSA-N,"InChI=1S/C27H46O2/c1-18(2)7-6-14-27(5,29)24-11-10-22-21-9-8-19-17-20(28)12-15-25(19,3)23(21)13-16-26(22,24)4/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3/t20-,21-,22-,23-,24-,25-,26-,27-/m0/s1",CHEBI:1296,KEGG COMPOUND,20-hydroxycholesterol,An oxysterol that is cholesterol substituted by a hydroxy group at position 20.,"InChI=1S/C27H46O2/c1-18(2)7-6-14-27(5,29)24-11-10-22-21-9-8-19-17-20(28)12-15-25(19,3)23(21)13-16-26(22,24)4/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3/t20-,21-,22-,23-,24-,25-,26-,27-/m0/s1"
22,xol7a,b,17500.0,Human Metabolome Database (HMDB): 7alpha-hydroxycholesterol is an oxysterol and can serve as a biomarker for lipid peroxidation. (PMID: 17386651) Products of cholesterol oxidation accumulate within atherosclerotic plaque and have been proposed to contribute to inflammatory signalling in the diseased artery. (PMID: 17364953). 7alpha-hydroxycholesterol is a cholesterol oxide that has been described as biomarker of oxidative stress in subjects with impaired glucose tolerance and diabetes. (PMID: 16634125).,7a-Hydroxycholesterol,HMDB0001496,b,b,C03594,CPD-266,FDB022655,xol7a,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@](O[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],MCKLJFJEQRYRQT-APGJSSKUSA-N,"InChI=1S/C27H46O2/c1-18(2)7-6-14-27(5,29)24-11-10-22-21-9-8-19-17-20(28)12-15-25(19,3)23(21)13-16-26(22,24)4/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3/t20-,21-,22-,23-,24-,25-,26-,27-/m0/s1",CHEBI:1296,KEGG COMPOUND,20-hydroxycholesterol,An oxysterol that is cholesterol substituted by a hydroxy group at position 20.,"InChI=1S/C27H46O2/c1-18(2)7-6-14-27(5,29)24-11-10-22-21-9-8-19-17-20(28)12-15-25(19,3)23(21)13-16-26(22,24)4/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3/t20-,21-,22-,23-,24-,25-,26-,27-/m0/s1"
23,23cump,40632-52-8,28637.0,"Human Metabolome Database (HMDB): Uridine 2',3'-cyclic phosphate is a cyclic nucleotide. A cyclic nucleotide is any nucleotide in which the phosphate group is bonded to two of the sugar's hydroxyl groups, forming a cyclical or ring structure. Cyclic phosphates are commonly found at the 3' end of mRNAs and other small RNAs. Uridine 2',3'-cyclic phosphate is a substrate for the enzyme 2',3'-cyclic nucleotide-3'-phosphodiesterase (CNPase, EC 3.1.4.37) which hydrolyses it to Uridine 2'-phosphate. CNPase is a unique RNase in that it only cleaves nucleoside 2',3'-cyclic phosphates and not the RNA internucleotide linkage, like other RNases such as RNase A and RNase T1.","Uridine 2',3'-cyclic phosphate ",HMDB0011640,b,b,C02355,b,FDB028337,23cump,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=O)N([H])C2=O)[C@]2([H])OP([O-])(=O)O[C@]12[H],HWDMHJDYMFRXOX-XVFCMESISA-M,"InChI=1S/C9H11N2O8P/c12-3-4-6-7(19-20(15,16)18-6)8(17-4)11-2-1-5(13)10-9(11)14/h1-2,4,6-8,12H,3H2,(H,15,16)(H,10,13,14)/p-1/t4-,6-,7-,8-/m1/s1",CHEBI:60873,SUBMITTER,"2',3'-cyclic UMP(1-)","A 2',3'-cyclic nucleotide(1-) which is obtained from 2',3'-cyclic UMP by removal of a proton from the cyclic phosphate group.","InChI=1S/C9H11N2O8P/c12-3-4-6-7(19-20(15,16)18-6)8(17-4)11-2-1-5(13)10-9(11)14/h1-2,4,6-8,12H,3H2,(H,15,16)(H,10,13,14)/p-1/t4-,6-,7-,8-/m1/s1"
24,23dh1i56dio,67992-45-4,b,b,"2,3-Dihydro-1H-Indole-5,6-Dione",b,b,b,b,b,b,23dh1i56dio,[H]N1C2=C([H])C(=O)C(=O)C([H])=C2C([H])([H])C1([H])[H],XDEURYRPQDIBSL-UHFFFAOYSA-N,"InChI=1S/C8H7NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h3-4,9H,1-2H2",CHEBI:189002,SUBMITTER,dopaminechrome (keto form),"A member of the class of indoledione that is 2,3,5,6-tetrahydro-1H-indole carrying oxo groups at positions 5 and 6; major microspecies at pH 7.3. It is an endogenous compound formed during dopamine oxidation and can induce neurotoxicity under certain aberrant conditions and induce Parkinson-like syndrome.","InChI=1S/C8H7NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h3-4,9H,1-2H2"
25,23doguln,3445-22-5,15622.0,"Human Metabolome Database (HMDB): 2,3-Diketo-L-gulonate is an intermediate in Ascorbate and aldarate metabolism. 2,3-Diketo-L-gulonate is produced from Dehydroascorbate and then converted to L-Xylonate via the enzyme Lyases (EC 4.1.1.-).","2,3-Diketo-L-gulonate",HMDB0006511,b,b,C04575,"2,3-diketo-l-gulonate",FDB023950,23doguln,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])C(=O)C(=O)C([O-])=O,GJQWCDSAOUMKSE-STHAYSLISA-M,"InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/p-1/t2-,3+/m0/s1",CHEBI:57441,Rhea,"2,3-diketogulonate","A dioxo monocarboxylic acid anion that is the conjugate base of 2,3-diketogulonic acid, and the major species at pH 7.3.","InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/p-1/t2-,3+/m0/s1"
26,23dpg,138-81-8,17720.0,"Human Metabolome Database (HMDB): 2,3-Bisphosphoglycerate (2,3-BPG, also known as 2,3-diphosphoglycerate or 2,3-DPG) is a three carbon isomer of the glycolytic intermediate 1,3-bisphosphoglycerate and is present at high levels in the human red blood cell (RBC; erythrocyte)--at the same molar concentration as hemoglobin. It is notable because it binds to deoxygenated hemoglobin in RBCs. In doing so, it allosterically upregulates the ability of RBCs to release oxygen near tissues that need it most. Its function was discovered in 1967 by Reinhold Benesch and Ruth Benesch.","2,3-Diphosphoglyceric acid",HMDB0001294,b,b,C01159,23-DIPHOSPHOGLYCERATE,FDB022538,23dpg,[H]C([H])(OP([O-])([O-])=O)[C@@]([H])(OP([O-])([O-])=O)C([O-])=O,XOHUEYCVLUUEJJ-UWTATZPHSA-I,"InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)/p-5/t2-/m1/s1",CHEBI:58248,Rhea,"2,3-bisphosphonato-D-glycerate(5-)","An organophosphate oxoanion arising from deprotonation of the phospho and carboxy groups of 2,3-bisphospho-D-glyceric acid; major species at pH 7.3.","InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)/p-5/t2-/m1/s1"
27,2425dhvitd3,b,b,"Human Metabolome Database (HMDB): This compound belongs to the family of Vitamin D and Derivatives. These are compounds containing a secosteroid backbone, usually secoergostane or secocholestane.",Secalciferol,HMDB0060508,b,b,C07712,b,b,2425dhvitd3,[H]O[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])\C(=C(/[H])\C(\[H])=C3/C(=C([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H],FCKJYANJHNLEEP-XRWYNYHCSA-N,"InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1",CHEBI:28818,ChEBI,"(24R)-24,25-dihydroxycalciol",y,"InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1"
28,24dhhed,b,58936.0,b,"2,4-Dihydroxyhept-2-enedioate",b,b,b,C06201,b,b,b,b,b,"InChI=1S/C7H10O6/c8-4(1-2-6(10)11)3-5(9)7(12)13/h3-4,8-9H,1-2H2,(H,10,11)(H,12,13)/p-2",CHEBI:58936,Rhea,"2,4-dihydroxyhept-2-enedioate","Dicarboxylate anion of 2,4-dihydroxyhept-2-enedioic acid.","InChI=1S/C7H10O6/c8-4(1-2-6(10)11)3-5(9)7(12)13/h3-4,8-9H,1-2H2,(H,10,11)(H,12,13)/p-2"
29,24nph,b,16318.0,"Human Metabolome Database (HMDB): 4-Nitrocatechol is the by-product of the hydroxylation of 4-Nitrophenol by the human cytochrome P450 (CYP) 2E1. This reaction is a useful metabolic marker for the presence of functional cytochrome P450 2E1 in mammalian cell microsomes. Hepatic and extrahepatic microsomal cytochrome P450 isozymes further catalyze the reduction of p-nitrocatechol to p-aminophenol. (PMID: 8267647, 8214571, 8267647).",4-Nitrocatechol,HMDB0002916,b,b,C02235,CPD-158,FDB023081,24nph,[H]OC1=C(O[H])C([H])=C(C([H])=C1[H])[N+]([O-])=O,XJNPNXSISMKQEX-UHFFFAOYSA-N,"InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H",CHEBI:16318,ChEBI,4-nitrocatechol,"A member of the class of catechols that is benzene-1,2-diol substituted by a nitro group at position 4.It is the by-product of the hydroxylation of p-nitrophenol.","InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H"
