name_of_disease,abbreviation_of_disease,type_of_disease,notes_of_disease,phenotype,organ_affected,cheblid_of_biomarker,description_of_biomarker,fullname_of_biomarker,abbreviation_of_biomarker,inchikey_of_biomarker,inchistring_of_biomarker,keggid_of_biomarker,casregistry_of_biomarker,value_of_biomarker,normal_conc_of_biomarker,ramedis_of_biomarker,range_conc_of_biomarker,biocyc_biomarker,smile_biomarker,hmdb_biomarker,reconMap3_biomarker,food_db_biomarker,pubChemId_biomarker
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",68830,"Human Metabolome Database (HMDB): Decanoylcarnitine, is a member of the class of compounds known as acyl carnitines. Acyl carnitines are organic compounds containing a fatty acid with the carboxylic acid attached to carnitine through an ester bond. Thus, decanoylcarnitine is considered to be a fatty ester lipid molecule. Decanoylcarnitine is practically insoluble (in water) and a weakly acidic compound (based on its pKa). Decanoylcarnitine can be found primarily in blood, feces, and urine. Within the cell, decanoylcarnitine is primarily located in the membrane. It can also be found in the extracellular space. Acyl carnitines are useful in the diagnosis of genetic disorders such as fatty acid oxidation disorders and differentiation between biochemical phenotypes of medium-chain acyl-CoA dehydrogenase (MCAD) deficiency (PMID: 12385891). Moreover, decanoylcarnitine is found to be associated with very long chain acyl-CoA dehydrogenase (VLAD) deficiency, glutaric aciduria II, and celiac disease, which are inborn errors of metabolism.",Decanoylcarnitine,c10crn,LZOSYCMHQXPBFU-UHFFFAOYSA-N,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3",,1492-27-9,Increased,0.027 - 0.25,,0.185 - 2.77,PALMITOYL-CARNITINE,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000651,c10crn,FDB022162,10245190
Very Long-Chain Acyl-Coenzyme A Dehydrogenase (VLCAD) Deficiency,VLCAD,Inherited metabolic disorder,"In blood- decreased glucose and ph, increased oleoylcarnitine (C18:1), palmitoylcarnitine (C16), tetradecadienoylcarnitine (C14:2), tetradecanoylcarnitine (C14), tetradecenoylcarnitine (C14:1). Decreased activity of very-long-chain acyl-CoA dehydrogenase in fibroblast. In plasma- increased long chain acyl carnitines, tetradecenoic acid. In urine- increased 3-Hydroxyadipic acid, adipic acid, dicarboxylic acids , suberic acid, and Mb.","3 forms-1) severe, early-onset, cardiac and multi-organ failure form typically presents in the first months of life, 2) hepatic or hypoketotic hypoglycemic form typically presents during early childhood, 3) later-onset episodic myopathic form presents with intermittent rhabdomyolysis, muscle cramps and/or pain, and/or exercise intolerance. Hypoglycemia typically is not present at the time of symptoms.","Nervous system, muscle, liver, heart",,,Tetradecadienoyl Carnitine,tetdec2crn,IXOHTRSFILEKHO-FSALDASDSA-N,"InChI=1S/C21H37NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-15,19H,5-11,16-18H2,1-4H3/b13-12-,15-14+",,,Increased,0.01 - 0.072,"341, 1055",0.009 - 0.50,,[H]\C(\C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(\[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdec2crn,,
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,,Tetradecadienoyl Carnitine,tetdec2crn,IXOHTRSFILEKHO-FSALDASDSA-N,"InChI=1S/C21H37NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-15,19H,5-11,16-18H2,1-4H3/b13-12-,15-14+",,,Increased,0.01 - 0.072,,0.06 - 0.32,,[H]\C(\C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(\[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdec2crn,,
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",,,Tetradecadienoyl Carnitine,tetdec2crn,IXOHTRSFILEKHO-FSALDASDSA-N,"InChI=1S/C21H37NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-15,19H,5-11,16-18H2,1-4H3/b13-12-,15-14+",,,Increased,0.01 - 0.072,,0.04 - 0.30,,[H]\C(\C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(\[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdec2crn,,
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,,Tetradecadienoyl Carnitine,tetdec2crn,IXOHTRSFILEKHO-FSALDASDSA-N,"InChI=1S/C21H37NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-15,19H,5-11,16-18H2,1-4H3/b13-12-,15-14+",,,Increased,0.01 - 0.072,,0.06 - 0.32,,[H]\C(\C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(\[H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdec2crn,,
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",,,Tetradecenoyl Carnitine,tetdece1crn,NNCBVXBBLABOCB-SEYXRHQNSA-N,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-13,19H,5-11,14-18H2,1-4H3/b13-12-",,,Increased,0.03-0.33,,0.182 - 2.76,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdece1crn,,22833575
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,,Tetradecenoyl Carnitine,tetdece1crn,NNCBVXBBLABOCB-SEYXRHQNSA-N,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-13,19H,5-11,14-18H2,1-4H3/b13-12-",,,Increased,0.03-0.33,,0.23 - 1.50,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdece1crn,,22833575
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,,Tetradecenoyl Carnitine,tetdece1crn,NNCBVXBBLABOCB-SEYXRHQNSA-N,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-13,19H,5-11,14-18H2,1-4H3/b13-12-",,,Increased,0.03-0.33,,0.23 - 1.50,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdece1crn,,22833575
Very Long-Chain Acyl-Coenzyme A Dehydrogenase (VLCAD) Deficiency,VLCAD,Inherited metabolic disorder,"In blood- decreased glucose and ph, increased oleoylcarnitine (C18:1), palmitoylcarnitine (C16), tetradecadienoylcarnitine (C14:2), tetradecanoylcarnitine (C14), tetradecenoylcarnitine (C14:1). Decreased activity of very-long-chain acyl-CoA dehydrogenase in fibroblast. In plasma- increased long chain acyl carnitines, tetradecenoic acid. In urine- increased 3-Hydroxyadipic acid, adipic acid, dicarboxylic acids , suberic acid, and Mb.","3 forms-1) severe, early-onset, cardiac and multi-organ failure form typically presents in the first months of life, 2) hepatic or hypoketotic hypoglycemic form typically presents during early childhood, 3) later-onset episodic myopathic form presents with intermittent rhabdomyolysis, muscle cramps and/or pain, and/or exercise intolerance. Hypoglycemia typically is not present at the time of symptoms.","Nervous system, muscle, liver, heart",,,Tetradecenoyl Carnitine,tetdece1crn,NNCBVXBBLABOCB-SEYXRHQNSA-N,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-13,19H,5-11,14-18H2,1-4H3/b13-12-",,,Increased,0.03-0.33,"341, 1055",0.78 - 4.70,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,tetdece1crn,,22833575
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",84634,"Human Metabolome Database (HMDB): Tetradecanoylcarnitine is a human carnitine involved in b-oxidation of long-chain fatty acids (PMID: 16425363). Tetradecanoylcarnitine is found to be associated with glutaric aciduria II, which is an inborn error of metabolism.",Tetradecenoylcarnitine,ttdcrn,PSHXNVGSVNEJBD-LJQANCHMSA-N,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1",,,Increased,0.075 - 0.47,,0.275 - 1.40,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005066,ttdcrn,FDB023615,53477791
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",84634,"Human Metabolome Database (HMDB): Tetradecanoylcarnitine is a human carnitine involved in b-oxidation of long-chain fatty acids (PMID: 16425363). Tetradecanoylcarnitine is found to be associated with glutaric aciduria II, which is an inborn error of metabolism.",Tetradecenoylcarnitine,ttdcrn,PSHXNVGSVNEJBD-LJQANCHMSA-N,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1",,,Increased,0.075 - 0.47,,0.275 - 1.40,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005066,ttdcrn,FDB023615,53477791
Carnitine Palmitoyltransferase 2 Deficiency,CPT2,Inherited metabolic disorder,Elevated C-16 and C-18:1 along with urinary examination.,"Lethal neonatal form, Severe infantile hepatocardiomuscular form, myopathic form. In infantile form-reduced enzyme activity in fibroblasts, lymphoblasts, and skeletal muscle-OMIM:600649, in lethal neonatal form- Postmortem examination showed diffuse lipid accumulation in the liver, heart, kidney, adrenal cortex, skeletal muscle, and lungs-OMIM:608836","Liver, heart, muscle, nervous system, kidney",84634,"Human Metabolome Database (HMDB): Tetradecanoylcarnitine is a human carnitine involved in b-oxidation of long-chain fatty acids (PMID: 16425363). Tetradecanoylcarnitine is found to be associated with glutaric aciduria II, which is an inborn error of metabolism.",Tetradecenoylcarnitine,ttdcrn,PSHXNVGSVNEJBD-LJQANCHMSA-N,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1",,,Increased,0.075 - 0.47,,0.44 - 2.70,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005066,ttdcrn,FDB023615,53477791
Carnitine Acylcarnitine Translocase Deficiency,CACT,Inherited metabolic disorder,Elevated C-16 and C-18:1,"Neonatal onset and milder form with some residual CACT activity. Morris et al. (1998) reported steatosis of renal tubules in a Pakistani family. Huizing et al. (1998) found high level of CACT mRNA transcripts in in heart, skeletal muscle, and liver, and much lower levels in brain, placenta, kidney, pancreas, and especially in lung.","Liver, muscle, heart",84634,"Human Metabolome Database (HMDB): Tetradecanoylcarnitine is a human carnitine involved in b-oxidation of long-chain fatty acids (PMID: 16425363). Tetradecanoylcarnitine is found to be associated with glutaric aciduria II, which is an inborn error of metabolism.",Tetradecenoylcarnitine,ttdcrn,PSHXNVGSVNEJBD-LJQANCHMSA-N,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1",,,Increased,0.075 - 0.47,,0.44 - 2.70,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005066,ttdcrn,FDB023615,53477791
Very Long-Chain Acyl-Coenzyme A Dehydrogenase (VLCAD) Deficiency,VLCAD,Inherited metabolic disorder,"In blood- decreased glucose and ph, increased oleoylcarnitine (C18:1), palmitoylcarnitine (C16), tetradecadienoylcarnitine (C14:2), tetradecanoylcarnitine (C14), tetradecenoylcarnitine (C14:1). Decreased activity of very-long-chain acyl-CoA dehydrogenase in fibroblast. In plasma- increased long chain acyl carnitines, tetradecenoic acid. In urine- increased 3-Hydroxyadipic acid, adipic acid, dicarboxylic acids , suberic acid, and Mb.","3 forms-1) severe, early-onset, cardiac and multi-organ failure form typically presents in the first months of life, 2) hepatic or hypoketotic hypoglycemic form typically presents during early childhood, 3) later-onset episodic myopathic form presents with intermittent rhabdomyolysis, muscle cramps and/or pain, and/or exercise intolerance. Hypoglycemia typically is not present at the time of symptoms.","Nervous system, muscle, liver, heart",84634,"Human Metabolome Database (HMDB): Tetradecanoylcarnitine is a human carnitine involved in b-oxidation of long-chain fatty acids (PMID: 16425363). Tetradecanoylcarnitine is found to be associated with glutaric aciduria II, which is an inborn error of metabolism.",Tetradecenoylcarnitine,ttdcrn,PSHXNVGSVNEJBD-LJQANCHMSA-N,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1",,,Increased,0.075 - 0.47,"341, 1055",0.62 - 4.20,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005066,ttdcrn,FDB023615,53477791
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",84634,"Human Metabolome Database (HMDB): Tetradecanoylcarnitine is a human carnitine involved in b-oxidation of long-chain fatty acids (PMID: 16425363). Tetradecanoylcarnitine is found to be associated with glutaric aciduria II, which is an inborn error of metabolism.",Tetradecenoylcarnitine,ttdcrn,PSHXNVGSVNEJBD-LJQANCHMSA-N,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1",,,Increased,0.075 - 0.47,,0.33 - 4.00,,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0005066,ttdcrn,FDB023615,53477791
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",,,3-Hydroxy-Tetradecanoyl Carnitine,3tdcrn,GFAZJTUXMHGTOC-UHFFFAOYSA-N,"InChI=1S/C21H41NO5/c1-5-6-7-8-9-10-11-12-13-14-18(23)15-21(26)27-19(16-20(24)25)17-22(2,3)4/h18-19,23H,5-17H2,1-4H3",,,Increased,0.003 - 0.053,,0.02 - 0.18,,[H]OC([H])(C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3tdcrn,,
